id,SimplifiedName,TraditionalName,PinyinName,CategoryName,EnglishName_1,EnglishName_2,EnglishName_3,EnglishInterpretation,sort_id,CategoryCode
5976,承灵,承靈,chéng líng,穴位,0,GB 18,Chengling;GB 18,0,32,360.1047d
5977,承满,承滿,chéng mǎn,穴位,0,ST 20,Chengman;ST 20,0,32,360.1047d
5978,承泣,承泣,chéng qì,穴位,0,ST 1,Chengqi;ST 1,0,32,360.1047d
5979,承山,承山,chéng shān,穴位,0,BL 57,Chengshan;BL 57,0,32,360.1047d
5980,尺泽,尺澤,chǐ zé,穴位,0,LU 5,Chize;LU 5,0,32,360.1047d
5981,冲门,沖門,chōng mén,穴位,0,SP 12,Chongmen;SP 12,0,32,360.1047d
5982,冲阳,沖陽,chōng yáng,穴位,0,ST 42,Chongyang;ST 42,0,32,360.1047d
5983,垂前,垂前,chuí qián,穴位,0,anterior ear lobe;LO4,chuiqian;LO (4); anterior ear lobe,0,32,360.1047d
5984,次髎,次髎,cì liáo,穴位,0,BL 32,Ciliao;BL 32,0,32,360.1047d
5985,大包,大包,dà bāo,穴位,0,SP 21,Dabao;SP 21,0,32,360.1047d
5986,大肠俞,大腸俞,dà cháng yú,穴位,0,BL 25,Dachangshu;BL 25,0,32,360.1047d
5987,大都,大都,dà dū,穴位,0,SP 2,Dadu;SP 2,0,32,360.1047d
5988,大敦,大敦,dà dūn,穴位,0,LV 1,Dadun;LR 1,0,32,360.1047d
5989,大骨空,大骨空,dà gǔ kōng,穴位,0,EX-UE5,Dagukong;EX-UE 5,0,32,360.1047d
5990,大赫,大赫,dà hè,穴位,0,KI 12,Dahe;KI 12,0,32,360.1047d
5991,大横,大橫,dà héng,穴位,0,SP 15,Daheng;SP 15,0,32,360.1047d
5992,大巨,大巨,dà jù,穴位,0,ST 27,Daju;ST 27,0,32,360.1047d
5993,大陵,大陵,dà líng,穴位,0,PC 7,Daling;PC 7,0,32,360.1047d
5994,大迎,大迎,dà yíng,穴位,0,ST 5,Daying;ST 5,0,32,360.1047d
5995,大钟,大鐘,dà zhōng,穴位,0,KI 4,Dazhong;KI 4,0,32,360.1047d
5996,大杼,大杼,dà zhù,穴位,0,BL 11,0,0,32,360.1047d
5997,大椎,大椎,dà chuí,穴位,0,DU 14,Dazhui;GV 14,0,32,360.1047d
5998,胆囊,膽囊,dǎn náng,穴位,0,EX-LE6,Dannang;EX-LE 6,0,32,360.1047d
5999,胆俞,膽俞,dǎn yú,穴位,0,BL19,Danshu;BL 19,0,32,360.1047d
6000,当阳,當陽,dāng yáng,穴位,0,EX-HN2,Dangyang;EX-HN 2,0,32,360.1047d
6001,地仓,地倉,de cāng,穴位,0,ST 4,Dicang;ST 4,0,32,360.1047d
6002,地机,地機,dì jī,穴位,0,SP 8,Diji;SP 8,0,32,360.1047d
6003,地五会,地五會,de wǔ huì,穴位,0,GB 42,Diwuhui;GB 42,0,32,360.1047d
6004,顶颞后斜线,頂顳後斜線,dǐng niè hòu xié xiàn,穴位,0,posterior oblique line of vertex-temporal;MS7,Dingnie Houxiexian;MS7; posterior oblique line of vertex-temporal,0,32,360.1047d
6005,顶颞前斜线,頂顳前斜線,dǐng niè qián xié xiàn,穴位,0,anterior oblique line of vertex-temporal;MS6,Dingnie Qianxiexian;MS6; anterior oblique line of vertex-temporal,0,32,360.1047d
6006,顶旁1线,頂旁1線,dǐng páng 1 xiàn,穴位,0,lateral line 1 of vertex;MS8,Dingpangxian I;MS8; lateral line 1 of vertex,0,32,360.1047d
6007,顶旁2线,頂旁2線,dǐng páng 2 xiàn,穴位,0,lateral line 2 of vertex;MS9,Dingpangxian n;MS9; lateral line 2 of vertex,0,32,360.1047d
6008,顶中线,頂中線,dǐng zhōng xiàn,穴位,0,middle line of vertex;MS5,Dingzhongxian;MS5; middle line of vertex,0,32,360.1047d
6009,定喘,定喘,dìng chuǎn,穴位,0,EX-B1,Dingchuan;EX-B1,0,32,360.1047d
6010,督俞,督俞,dū yú,穴位,0,BL 16,Dushu;BL 16,0,32,360.1047d
6011,独阴,獨陰,dú yīn,穴位,0,EX-LE11,Duyin;EX-LE 11,0,32,360.1047d
6012,犊鼻,犢鼻,dú bí,穴位,0,ST 35,Dubi;ST 35,0,32,360.1047d
6013,对耳轮,對耳輪,duì ěr lún,穴位,0,0,duierlun;AH; antihelix zone,0,32,360.1047d
6014,对耳屏,對耳屏,duì ěr píng,穴位,0,0,duierping;AT; antitragus zone,0,32,360.1047d
6015,对屏尖,對屏尖,duì píng jiān,穴位,0,"apex of antitragus;AT1, 2, 4i","duipingjian;AT (1, 2, 4i); apex of antitragus",0,32,360.1047d
6016,兑端,兌端,duì duān,穴位,0,DU 27,Duiduan;GV 27,0,32,360.1047d
6017,额,額,é,穴位,0,forehead;AT1,e;AT (1); forehead,0,32,360.1047d
6018,额旁1线,額旁1線,é páng 1 xiàn,穴位,0,lateral line 1 of forehead;MS2,0,0,32,360.1047d
6019,额旁2线,額旁2線,é páng 2 xiàn,穴位,0,lateral line 2 of forehead;MS3,Epangxian n;MS3; lateral line 2 of forehead,0,32,360.1047d
6020,额旁3线,額旁3線,é páng 3 xiàn,穴位,0,lateral line 3 of forehead;MS4,Epangxian H;MS4; lateral line 3 of forehead,0,32,360.1047d
6021,额中线,額中線,é zhōng xiàn,穴位,0,middle line of forehead;MS1,Ezhongxian;MS1; middle line of forehead,0,32,360.1047d
6022,耳背,耳背,ěr bèi,穴位,0,0,erbei;P; posterior surface of ear,0,32,360.1047d
6023,耳背肺,耳背肺,ěr bèi fèi,穴位,0,posterior surface of lung ;P2,erbeifei;P (2); lung of posterior surface,0,32,360.1047d
6024,耳背肝,耳背肝,ěr bèi gān,穴位,0,posterior surface of liver;P4,erbeigan;P ⑷;liver of posterior surface,0,32,360.1047d
6025,耳背沟,耳背溝,ěr bèi gōu,穴位,0,groove of posterior surface;PS,erbeigou;PS; groove of posterior surface,0,32,360.1047d
6026,耳背脾,耳背脾,ěr bèi pí,穴位,0,posterior surface of spleen ;P3,erbeipi;P ⑶;spleen of posterior surface,0,32,360.1047d
6027,耳背肾,耳背腎,ěr bèi shèn,穴位,0,posterior surface of kidney;P5,erbeishen;P (5); kidney of posterior surface,0,32,360.1047d
6028,耳背心,耳背心,ěr bèi xīn,穴位,0,posterior surface of heart ;P1,erbeixin;P ⑴;heart of posterior surface,0,32,360.1047d
6029,耳垂,耳垂,ěr chuí,穴位,0,0,erchui;LO; earlobe,0,32,360.1047d
6030,耳根,耳根,ěr gēn,穴位,0,0,ergen;R; ear root,0,32,360.1047d
6031,耳郭分区,耳郭分區,ěr guō fēn qū,穴位,0,0,0,0,32,360.1047d
6032,耳和髎,耳和髎,ěr hé liáo,穴位,0,SJ 22,Erheliao;TE 22,0,32,360.1047d
6033,耳甲,耳甲,ěr jiǎ,穴位,0,0,erjia;CO; concha zone,0,32,360.1047d
6034,耳尖,耳尖,ěr jiān,穴位,0,"ear apex;HX6, 7i","erjian;HX (6, 7i); ear apex",0,32,360.1047d
6035,耳轮,耳輪,ěr lún,穴位,0,0,erlun;HX; helix zone,0,32,360.1047d
6036,耳门,耳門,ěr mén,穴位,0,SJ 21,Ermen;TE 21,0,32,360.1047d
6037,耳迷根,耳迷根,ěr mí gēn,穴位,0,root of ear vagus;R2,ermigen;R ⑵;root of ear vagus,0,32,360.1047d
6038,耳中,耳中,ěr zhōng,穴位,0,ear center;HX1,erzhong;HX ⑴;ear center,0,32,360.1047d
6039,耳舟,耳舟,ěr zhōu,穴位,0,0,erzhou;SF; scapha zone,0,32,360.1047d
6040,二白,二白,èr bái,穴位,0,EX-UE2,Erbai;EX-UE 2,0,32,360.1047d
6041,二间,二間,èr jiān,穴位,0,LI 2,Erjian;LI 2,0,32,360.1047d
6042,飞扬,飛揚,fēi yáng,穴位,0,BL 58,Feiyang;BL 58,0,32,360.1047d
6043,肺俞,肺俞,fèi yú,穴位,0,BL 13,Feishu;BL 13,0,32,360.1047d
6044,丰隆,豐隆,fēng lóng,穴位,0,ST 40,Fenglong;ST 40,0,32,360.1047d
6045,风池,風池,fēng chí,穴位,0,GB 20,Fengchi;GB 20,0,32,360.1047d
6046,风府,風府,fēng fǔ,穴位,0,DU 16,Fengfu;GV 16,0,32,360.1047d
6047,风门,風門,fēng mén,穴位,0,BL 12,Fengmen;BL 12,0,32,360.1047d
6048,风市,風市,fēng shì,穴位,0,GB 31,Fengshi;GB 31,0,32,360.1047d
6049,风溪,風溪,fēng xī,穴位,0,"wind stream;SF1, 2i","fengxi;SF (1, 2i); wind stream",0,32,360.1047d
6050,跗阳,跗陽,fū yáng,穴位,0,BL 59,Fuyang;BL 59,0,32,360.1047d
6051,伏兔,伏兔,fú tù,穴位,0,ST 32,Futu;ST 32,0,32,360.1047d
6052,扶突,扶突,fú tū,穴位,0,LI 18,Futu;LI 18,0,32,360.1047d
6053,浮白,浮白,fú bái,穴位,0,GB 10,Fubai;GB 10,0,32,360.1047d
6054,浮郄,浮郤,fú qiè,穴位,0,BL 38,Fuxi;BL 38,0,32,360.1047d
6055,府舍,府舍,fǔ shě,穴位,0,SP 13,Fushe;SP 13,0,32,360.1047d
6056,附分,附分,fù fēn,穴位,0,BL 41,Fufen;BL 41,0,32,360.1047d
6057,复溜,複溜,fù liū,穴位,0,KI 7,Fuliu;KI 7,0,32,360.1047d
6058,腹哀,腹哀,fù āi,穴位,0,SP 16,Fu'ai;SP 16,0,32,360.1047d
6059,腹结,腹結,fù jié,穴位,0,SP 14,Fujie;SP 14,0,32,360.1047d
6060,腹通谷,腹通穀,fù tōng gǔ,穴位,0,KI 20,Futonggu;KI 20,0,32,360.1047d
6061,肝俞,肝俞,gān yú,穴位,0,BL 18,Ganshu;BL 18,0,32,360.1047d
6062,肛门,肛門,gāng mén,穴位,0,anus;HX5,gangmen;HX ⑸;anus,0,32,360.1047d
6063,膈关,膈關,gé guān,穴位,0,BL 46,Geguan;BL 46,0,32,360.1047d
6064,膈俞,膈俞,gé yú,穴位,0,BL 17,0,0,32,360.1047d
6065,跟,跟,gēn,穴位,0,heel;AH1,gen;AH ⑴;heel,0,32,360.1047d
6066,公孙,公孫,gōng sūn,穴位,0,SP 4,Gongsun;SP 4,0,32,360.1047d
6067,关冲,關沖,guān chōng,穴位,0,SJ 1,Guanchong;TE 1,0,32,360.1047d
6068,关门,關門,guān mén,穴位,0,ST 22,Guanmen;ST 22,0,32,360.1047d
6069,关元,關元,guān yuán,穴位,0,RN 4,Guanyuan;CV 4,0,32,360.1047d
6070,关元俞,關元俞,guān yuán yú,穴位,0,BL 26,Guanyuanshu;BL 26,0,32,360.1047d
6071,光明,光明,guāng míng,穴位,0,GB 37,Guangming;GB 37,0,32,360.1047d
6072,归来,歸來,guī lái,穴位,0,ST 29,Guilai;ST 29,0,32,360.1047d
6073,海泉,海泉,hǎi quán,穴位,0,EX-HN11,Haiquan;EX-HN 11,0,32,360.1047d
6074,颔厌,頷厭,hàn yàn,穴位,0,GB 4,Hanyan;GB 4,0,32,360.1047d
6075,行间,行間,háng jiān,穴位,0,LV 2,Xingjian;LR 2,0,32,360.1047d
6076,合谷,合穀,hé gǔ,穴位,0,LI 4,Hegu;LI 4,0,32,360.1047d
6077,合阳,合陽,hé yáng,穴位,0,BL 55,Heyang;BL 55,0,32,360.1047d
6078,颌,頜,hé,穴位,0,jaw;LO3,he;LO (3); jaw,0,32,360.1047d
6079,鹤顶,鶴頂,hè dǐng,穴位,0,EX-LE2,Heding;EX-LE 2,0,32,360.1047d
6080,横骨,橫骨,héng gǔ,穴位,0,KI 11,Henggu;KI 11,0,32,360.1047d
6081,后顶,後頂,hòu dǐng,穴位,0,DU 19,Houding;GV 19,0,32,360.1047d
6082,后溪,後溪,hòu xī,穴位,0,SI 3,Houxi;SI 3,0,32,360.1047d
6083,华盖,華蓋,huá gài,穴位,0,RN 20,Huagai;CV 20,0,32,360.1047d
6084,滑肉门,滑肉門,huá ròu mén,穴位,0,ST 24,Huaroumen;ST 24,0,32,360.1047d
6085,踝,踝,huái,穴位,0,ankle;AH3,huai;AH ⑶;ankle,0,32,360.1047d
6086,环跳,環跳,huán tiào,穴位,0,GB 30,Huantiao;GB 30,0,32,360.1047d
6087,肓门,肓門,huāng mén,穴位,0,BL 51,Huangmen;BL 51,0,32,360.1047d
6088,肓俞,肓俞,huāng yú,穴位,0,KI 16,Huangshu;KI 16,0,32,360.1047d
6089,会阳,會陽,huì yáng,穴位,0,BL 35,Huiyang;BL 35,0,32,360.1047d
6090,会阴,會陰,huì yīn,穴位,0,RN 1,Huiyin;CV 1,0,32,360.1047d
6091,会宗,會宗,huì zōng,穴位,0,SJ 7,Huizong;TE 7,0,32,360.1047d
6092,魂门,魂門,hún mén,穴位,0,BL 47,Hunmen;BL 47,0,32,360.1047d
6093,箕门,箕門,jī mén,穴位,0,SP 11,Jimen;SP 11,0,32,360.1047d
6094,极泉,極泉,jí quán,穴位,0,HT 1,Jiquan;HT 1,0,32,360.1047d
6095,急脉,急脈,jí mài,穴位,0,LV 12,Jimai;LR 12,0,32,360.1047d
6096,脊中,脊中,jí zhōng,穴位,0,DU 6,Jizhong;GV 6,0,32,360.1047d
6097,夹脊,夾脊,jiā jí,穴位,0,EX-B2,Jiaji;EX-B 2,0,32,360.1047d
6098,颊车,頰車,jiá chē,穴位,0,ST 6,Jiache;ST 6,0,32,360.1047d
6099,间使,間使,jiān shǐ,穴位,0,PC 5,Jianshi;PC 5,0,32,360.1047d
6100,肩,肩,jiān,穴位,0,"shoulder;SF4, 5 ","jian;SF (4, 5); shoulder",0,32,360.1047d
6101,肩井,肩井,jiān jǐng,穴位,0,GB 21,Jianjing;GB 21,0,32,360.1047d
6102,肩髎,肩髎,jiān liáo,穴位,0,SJ 14,Jianyu;LI 15,0,32,360.1047d
6103,肩外俞,肩外俞,jiān wài yú,穴位,0,SI 14,Jianwaishu;SI 14,0,32,360.1047d
6104,肩髃,肩髃,jiān yú,穴位,0,LI 15,0,0,32,360.1047d
6105,肩贞,肩貞,jiān zhēn,穴位,0,SI 9,Jianzhen;SI 9,0,32,360.1047d
6106,肩中俞,肩中俞,jiān zhōng yú,穴位,0,SI 15,Jianzhongshu;SI 15,0,32,360.1047d
6107,建里,建裏,jiàn lǐ,穴位,0,RN 11,Jianli;CV 11,0,32,360.1047d
6108,交感,交感,jiāo gǎn,穴位,0,sympathetic;AH6a,jiaogan;AH (6a); sympathetic,0,32,360.1047d
6109,交信,交信,jiāo xìn,穴位,0,KI 8,Jiaoxin;KI 8,0,32,360.1047d
6110,角孙,角孫,jiǎo sūn,穴位,0,SJ 20,Jiaosun;TE 20,0,32,360.1047d
6111,角窝上,角窩上,jiǎo wō shàng,穴位,0,superior triangular fossa;TF1,jiaowoshang;TF ⑴;superior triangular fossa,0,32,360.1047d
6112,角窝中,角窩中,jiǎo wō zhōng,穴位,0,middle triangular fossa;TF3,jiaowozhong;TF ⑶;middle triangular fossa,0,32,360.1047d
6113,结节,結節,jié jié,穴位,0,node;HX8,jiejie;HX ⑻;node,0,32,360.1047d
6114,解溪,解溪,jiě xī,穴位,0,ST 41,Jiexi;ST 41,0,32,360.1047d
6115,金津,金津,jīn jīn,穴位,0,EX-HN12,Jinjin;EX-HN 12,0,32,360.1047d
6116,金门,金門,jīn mén,穴位,0,BL 63,Jinmen;BL 63,0,32,360.1047d
6117,京骨,京骨,jīng gǔ,穴位,0,BL 64,Jinggu;BL 64,0,32,360.1047d
6118,京门,京門,jīng mén,穴位,0,GB 25,Jingmen;GB 25,0,32,360.1047d
6119,经渠,經渠,jīng qú,穴位,0,LU 8,Jingqu;LU 8,0,32,360.1047d
6120,睛明,睛明,jīng míng,穴位,0,BL 1,Jingming;BL 1,0,32,360.1047d
6121,颈,頸,jǐng,穴位,0,neck;AH12,jing;AH (12); neck,0,32,360.1047d
6122,颈百劳,頸百勞,jǐng bǎi láo,穴位,0,EX-HN15,Jingbailao;EX-HN 15,0,32,360.1047d
6123,颈椎,頸椎,jǐng chuí,穴位,0,cervical vertebrae;AH13,jingzhui;AH (13); cervical vertebrae,0,32,360.1047d
6124,鸠尾,鳩尾,jiū wěi,穴位,0,RN 15,Jiuwei;CV 15,0,32,360.1047d
6125,居髎,居髎,jū liáo,穴位,0,GB 29,Juliao;GB 29,0,32,360.1047d
6126,巨骨,巨骨,jù gǔ,穴位,0,LI 16,Jugu;LI 16,0,32,360.1047d
6127,巨髎,巨髎,jù liáo,穴位,0,ST 3,Juliao;ST 3,0,32,360.1047d
6128,巨阙,巨闕,jù quē,穴位,0,RN 14,Juque;CV 14,0,32,360.1047d
6129,聚泉,聚泉,jù quán,穴位,0,EX-HN10,Juquan;EX-HN 10,0,32,360.1047d
6130,厥阴俞,厥陰俞,jué yīn yú,穴位,0,BL 14,Jueyinshu;BL 14,0,32,360.1047d
6131,孔最,孔最,kǒng zuì,穴位,0,LU 6,Kongzui;LU 6,0,32,360.1047d
6132,口禾髎,口禾髎,kǒu hé liáo,穴位,0,LI 19,Kouheliao;LI 19,0,32,360.1047d
6133,库房,庫房,kù fáng,穴位,0,ST 14,Kufang;ST 14,0,32,360.1047d
6134,髋骨,髖骨,kuān gǔ,穴位,0,EX-LE1,Kuangu;EX-LE 1,0,32,360.1047d
6135,昆仑,昆侖,kūn lún,穴位,0,BL 60,Kunlun;BL 60,0,32,360.1047d
6136,劳宫,勞宮,láo gōng,穴位,0,PC 8,Laogong;PC 8,0,32,360.1047d
6137,蠡沟,蠡溝,lí gōu,穴位,0,LV 5,Ligou;LR 5,0,32,360.1047d
6138,厉兑,厲兌,lì duì,穴位,0,ST 45,Lidui;ST 45,0,32,360.1047d
6139,廉泉,廉泉,lián quán,穴位,0,RN 23,Lianquan;CV 23,0,32,360.1047d
6140,梁门,梁門,liáng mén,穴位,0,ST 21,Liangmen;ST 21,0,32,360.1047d
6141,梁丘,梁丘,liáng qiū,穴位,0,ST 34,Liangqiu;ST 34,0,32,360.1047d
6142,列缺,列缺,liè quē,穴位,0,LU 7,Lieque;LU 7,0,32,360.1047d
6143,灵道,靈道,líng dào,穴位,0,HT 4,Lingdao;HT 4,0,32,360.1047d
6144,灵台,靈臺,líng tái,穴位,0,DU 10,Lingtai;GV 10,0,32,360.1047d
6145,灵墟,靈墟,líng xū,穴位,0,KI 24,Lingxu;KI 24,0,32,360.1047d
6146,漏谷,漏穀,lòu gǔ,穴位,0,SP 7,Lougu;SP 7,0,32,360.1047d
6147,颅息,顱息,lú xī,穴位,0,SJ 19,Luxi;TE 19,0,32,360.1047d
6148,卵巢,卵巢,luǎn cháo,穴位,0,ovary;TF2,0,0,32,360.1047d
6149,轮1,輪1,lún 1,穴位,0,helix 1;HX9,0,0,32,360.1047d
6150,轮2,輪2,lún 2,穴位,0,helix 2;HX10,luner;HX (10); helix 2,0,32,360.1047d
6151,轮3,輪3,lún 3,穴位,0,helix 3;HX11,lunsan;HX (11); helix 3,0,32,360.1047d
6152,轮4,輪4,lún 4,穴位,0,helix 4;HX12,lunsi;HX (12); helix 4,0,32,360.1047d
6153,络却,絡卻,luò què,穴位,0,BL 8,Luoque;BL 8,0,32,360.1047d
6154,率谷,率穀,lǜ gǔ,穴位,0,GB 8,Shuaigu;GB 8,0,32,360.1047d
6155,眉冲,眉沖,méi chōng,穴位,0,BL 3,Meichong;BL 3,0,32,360.1047d
6156,面颊,面頰,miàn jiá,穴位,0,"cheek;LO5, 6i","mianjia;LO (5, 6i); cheek",0,32,360.1047d
6157,目窗,目窗,mù chuāng,穴位,0,GB 16,Muchuang;GB 16,0,32,360.1047d
6158,脑干,腦幹,nǎo gàn,穴位,0,"brain stem;AT3, 4i","naogan;AT (3, 4i); brain stem",0,32,360.1047d
6159,脑空,腦空,nǎo kōng,穴位,0,GB 19,Naokong;GB 19,0,32,360.1047d
6160,内鼻,內鼻,nèi bí,穴位,0,internal nose;TG4,neibi;TG (4); internal nose,0,32,360.1047d
6161,内耳,內耳,nèi ěr,穴位,0,internal ear;LO6,neier;LO (6); internal ear,0,32,360.1047d
6162,内分泌,內分泌,nèi fēn mì,穴位,0,endocrine;CO18,neifenmi;CO (18); endocrine,0,32,360.1047d
6163,内关,內關,nèi guān,穴位,0,PC 6,Neiguan;PC 6,0,32,360.1047d
6164,内踝尖,內踝尖,nèi huái jiān,穴位,0,EX-LE8,Neihuaijian;EX-LE 8,0,32,360.1047d
6165,内生殖器,內生殖器,nèi shēng zhí qì,穴位,0,internal genitalia;TF2,neishengzhiqi;TF (2); internal genitals,0,32,360.1047d
6166,内庭,內庭,nèi tíng,穴位,0,ST 44,Neiting;ST 44,0,32,360.1047d
6167,内膝眼,內膝眼,nèi xī yǎn,穴位,0,EX-LE4,Neixiyan;EX-LE 4,0,32,360.1047d
6168,内迎香,內迎香,nèi yíng xiāng,穴位,0,EX-HN9,Neiyingxiang;EX-HN 9,0,32,360.1047d
6169,尿道,尿道,niào dào,穴位,0,urethra;HX3,niaodao;HX ⑶;urethra,0,32,360.1047d
6170,颞,顳,niè,穴位,0,temple;AT2,0,0,32,360.1047d
6171,颞后线,顳後線,niè hòu xiàn,穴位,0,posterior temporal line;MS11,0,0,32,360.1047d
6172,颞前线,顳前線,niè qián xiàn,穴位,0,anterior temporal line;MS10,Nieqianxian;MS10; anterior temporal line,0,32,360.1047d
6173,膀胱俞,膀胱俞,páng guāng yú,穴位,0,BL 28,Pangguangshu;BL 28,0,32,360.1047d
6174,盆腔,盆腔,pén qiāng,穴位,0,pelvic cavity;TF5,penqiang;TF ⑸;pelvis,0,32,360.1047d
6175,皮质下,皮質下,pí zhì xià,穴位,0,subcortex;AT4,pizhixia;AT (4); subcortex,0,32,360.1047d
6176,脾俞,脾俞,pí yú,穴位,0,BL 20,Pishu;BL 20,0,32,360.1047d
6177,痞根,痞根,pǐ gēn,穴位,0,EX-B4,Pigen;EX-B 4,0,32,360.1047d
6178,偏历,偏曆,piān lì,穴位,0,LI 6,Pianli;LI 6,0,32,360.1047d
6179,屏尖,屏尖,píng jiān,穴位,0,apex of tragus;TG1p,pingjian;TG (Ip); apex of tragus,0,32,360.1047d
6180,屏间后,屏間後,píng jiān hòu,穴位,0,posterior intertragic notch;AT1l,pingjianhou;AT (11); posterior intertragal notch,0,32,360.1047d
6181,屏间前,屏間前,píng jiān qián,穴位,0,anterior intertragic notch;TG21,pingjianqian;TG (21); anterior intertragal notch,0,32,360.1047d
6182,魄户,魄戶,pò hù,穴位,0,BL 42,Pohu;BL 42,0,32,360.1047d
6183,仆参,僕參,pū cān,穴位,0,BL 61,Pucan;BL 61,0,32,360.1047d
6184,期门,期門,qī mén,穴位,0,LV 14,Qimen;LR 14,0,32,360.1047d
6185,气冲,氣沖,qì chōng,穴位,0,ST 30,Qichong;ST 30,0,32,360.1047d
6186,气端,氣端,qì duān,穴位,0,EX-LE12,Qiduan;EX-LE 12,0,32,360.1047d
6187,气管,氣管,qì guǎn,穴位,0,trachea;CO16,qiguan;CO (16); trachea,0,32,360.1047d
6188,气海俞,氣海俞,qì hǎi yú,穴位,0,BL 24,Qihaishu;BL 24,0,32,360.1047d
6189,气户,氣戶,qì hù,穴位,0,ST 13,Qihu;ST 13,0,32,360.1047d
6190,气舍,氣舍,qì shě,穴位,0,ST 11,Qishe;ST 11,0,32,360.1047d
6191,气穴,氣穴,qì xué,穴位,0,KI 13,Qixue;KI 13,0,32,360.1047d
6192,前顶,前頂,qián dǐng,穴位,0,DU 21,Qianding;GV 21,0,32,360.1047d
6193,前谷,前穀,qián gǔ,穴位,0,SI 2,Qiangu;SI 2,0,32,360.1047d
6194,强间,強間,qiáng jiān,穴位,0,DU 18,Qiangjian;GV 18,0,32,360.1047d
6195,郄门,郤門,qiè mén,穴位,0,PC 4,Ximen;PC 4,0,32,360.1047d
6196,青灵,青靈,qīng líng,穴位,0,HT 2,Qing|ing;HT 2,0,32,360.1047d
6197,清冷渊,清冷淵,qīng lěng yuān,穴位,0,SJ 11,Qinglengyuan;TE 11,0,32,360.1047d
6198,丘墟,丘墟,qiū xū,穴位,0,GB 40,Qiuxu;GB 40,0,32,360.1047d
6199,球后,球後,qiú hòu,穴位,0,EX-HN7,Qiuhou;EX-HN 7,0,32,360.1047d
6200,曲鬓,曲鬢,qū bìn,穴位,0,GB 7,Qubin;GB 7,0,32,360.1047d
6201,曲差,曲差,qū chà,穴位,0,BL 4,Qucha;BL 4,0,32,360.1047d
6202,曲池,曲池,qǔ chí,穴位,0,LI 11,Quchi;LI 11,0,32,360.1047d
6203,曲骨,曲骨,qū gǔ,穴位,0,RN 2,Qugu;CV 2,0,32,360.1047d
6204,曲泉,曲泉,qǔ quán,穴位,0,LV 8,Ququan;LR 8,0,32,360.1047d
6205,曲垣,曲垣,qū yuán,穴位,0,SI 13,Quyuan;SI 13,0,32,360.1047d
6206,曲泽,曲澤,qǔ zé,穴位,0,PC 3,Quze;PC 3,0,32,360.1047d
6207,颧髎,顴髎,quán liáo,穴位,0,SI 18,Quanliao;SI 18,0,32,360.1047d
6208,缺盆,缺盆,quē pén,穴位,0,ST 12,Quepen;ST 12,0,32,360.1047d
6209,然谷,然穀,rán gǔ,穴位,0,KI 2,Rangu;KI 2,0,32,360.1047d
6210,日月,日月,rì yuè,穴位,0,GB 24,0,0,32,360.1047d
6211,臑会,臑會,nào huì,穴位,0,SJ 13,Naohui;TE 13,0,32,360.1047d
6212,臑俞,臑俞,nào yú,穴位,0,SI 10,Naoshu;SI 10,0,32,360.1047d
6213,乳根,乳根,rǔ gēn,穴位,0,ST 18,Rugen;ST 18,0,32,360.1047d
6214,乳中,乳中,rǔ zhōng,穴位,0,ST 17,Ruzhong;ST 17,0,32,360.1047d
6215,三间,三間,sān jiān,穴位,0,LI 3,Sanjian;LI 3,0,32,360.1047d
6216,三焦俞,三焦俞,sān jiāo yú,穴位,0,BL 22,Sanjiaoshu;BL 22,0,32,360.1047d
6217,三角窝,三角窩,sān jiǎo wō,穴位,0,0,sanjiaowo;TG; triangular fossa zone,0,32,360.1047d
6218,三阳络,三陽絡,sān yáng luò,穴位,0,SJ 8,Sanyangluo;TE 8,0,32,360.1047d
6219,三阴交,三陰交,sān yīn jiāo,穴位,0,SP 6,Sanyinjiao;SP 6,0,32,360.1047d
6220,膻中,膻中,dàn zhōng,穴位,chest center,RN 17,Tanzhong;CV 17,the center of the chest between the nipples,32,360.1047d
6221,商丘,商丘,shāng qiū,穴位,0,SP 5,Shangqiu;SP 5,0,32,360.1047d
6222,商曲,商曲,shāng qū,穴位,0,KI 17,Shangqu;KI 17,0,32,360.1047d
6223,商阳,商陽,shāng yáng,穴位,0,LI 1,Shangyang;LI 1,0,32,360.1047d
6224,上耳根,上耳根,shàng ěr gēn,穴位,0,upper ear root;R1,shang'ergen;R (1); upper ear root,0,32,360.1047d
6225,上关,上關,shàng guān,穴位,0,GB 3,Shangguan;GB 3,0,32,360.1047d
6226,上巨虚,上巨虛,shàng jù xū,穴位,0,ST 37,Shangjuxu;ST 37,0,32,360.1047d
6227,上廉,上廉,shàng lián,穴位,0,LI 9,Shanglian;LI 9,0,32,360.1047d
6228,上髎,上髎,shàng liáo,穴位,0,BL 31,Shangliao;BL 31,0,32,360.1047d
6229,上屏,上屏,shàng píng,穴位,0,upper tragus;TG1,shangping;TG (1); upper tragus,0,32,360.1047d
6230,上星,上星,shàng xīng,穴位,0,DU 23,Shangxing;GV 23,0,32,360.1047d
6231,上迎香,上迎香,shàng yíng xiāng,穴位,0,EX-HN8,Shangyingxiang;EX-HN 8,0,32,360.1047d
6232,上肢穴,上肢穴,shàng zhī xué,穴位,0,0,0,0,32,360.1047d
6233,少冲,少沖,shǎo chōng,穴位,0,HT 9,Shaochong;HT 9,0,32,360.1047d
6234,少府,少府,shào fǔ,穴位,0,HT 8,Shaofu;HT 8,0,32,360.1047d
